pearson,p,lon,lat,Country,pattern
0.031214798,0.85,101.125,4.125,Malaysia,persistent hot spot
-0.309555939,0.055,101.125,4.375,Malaysia,persistent hot spot
-0.20503058,0.237,101.125,4.625,Malaysia,persistent hot spot
0.057860495,0.726,101.375,3.375,Malaysia,persistent hot spot
0.180378505,0.272,101.375,3.625,Malaysia,persistent hot spot
0.198279093,0.226,101.375,3.875,Malaysia,persistent hot spot
-0.031064622,0.853,101.375,4.125,Malaysia,persistent hot spot
-0.261697866,0.118,101.375,4.375,Malaysia,persistent hot spot
0.194311423,0.236,101.625,3.125,Malaysia,persistent hot spot
0.307664994,0.057,101.625,3.375,Malaysia,persistent hot spot
0.225728235,0.173,101.875,3.125,Malaysia,persistent hot spot
0.197794355,0.234,102.125,2.875,Malaysia,persistent hot spot
0.249930034,0.125,102.375,2.375,Malaysia,persistent hot spot
0.063522027,0.701,102.375,2.625,Malaysia,persistent hot spot
-0.098303401,0.552,102.625,1.875,Malaysia,persistent hot spot
-0.210628677,0.198,102.625,2.125,Malaysia,persistent hot spot
0.422747262,0.007,102.625,2.375,Malaysia,persistent hot spot
0.384519489,0.016,102.625,2.625,Malaysia,persistent hot spot
0.195572077,0.233,103.375,1.375,Malaysia,persistent hot spot
0.119874942,0.467,103.625,1.375,Malaysia,persistent hot spot
0.652500162,0,103.625,1.625,Malaysia,persistent hot spot
-0.028320416,0.868,103.875,1.375,Malaysia,persistent hot spot
0.454522905,0.004,103.875,1.625,Malaysia,persistent hot spot
-0.054664222,0.741,104.125,1.375,Malaysia,persistent hot spot
0.538773661,0,104.125,1.625,Malaysia,persistent hot spot
0.076119799,0.645,104.375,1.375,Malaysia,persistent hot spot
0.010966288,0.951,105.125,21.125,Vietnam,persistent hot spot
-0.171595706,0.324,105.125,21.375,Vietnam,persistent hot spot
-0.649093433,0,105.375,19.375,Vietnam,persistent hot spot
-0.288457639,0.109,105.375,20.875,Vietnam,persistent hot spot
-0.311521934,0.069,105.375,21.125,Vietnam,persistent hot spot
-0.481012623,0.003,105.375,21.375,Vietnam,persistent hot spot
-0.18742728,0.288,105.375,21.625,Vietnam,persistent hot spot
-0.6674996,0,105.625,18.875,Vietnam,persistent hot spot
-0.528718703,0.002,105.625,19.125,Vietnam,persistent hot spot
-0.556372074,0.001,105.625,21.125,Vietnam,persistent hot spot
-0.408371173,0.015,105.625,21.375,Vietnam,persistent hot spot
0.026070902,0.884,105.625,21.625,Vietnam,persistent hot spot
-0.595039392,0,105.875,18.625,Vietnam,persistent hot spot
-0.340909685,0.048,105.875,21.125,Vietnam,persistent hot spot
-0.179992717,0.308,105.875,21.375,Vietnam,persistent hot spot
0.057815556,0.745,105.875,21.625,Vietnam,persistent hot spot
-0.004363022,0.98,106.125,21.375,Vietnam,persistent hot spot
-0.014960169,0.934,106.125,21.625,Vietnam,persistent hot spot
-0.342965777,0.051,106.375,21.125,Vietnam,persistent hot spot
-0.059353044,0.731,106.375,21.375,Vietnam,persistent hot spot
-0.138182599,0.451,106.375,21.625,Vietnam,persistent hot spot
-0.478002929,0.005,106.625,21.125,Vietnam,persistent hot spot
-0.095009328,0.582,106.625,21.375,Vietnam,persistent hot spot
-0.041942828,0.814,106.625,21.625,Vietnam,persistent hot spot
0.035851553,0.836,106.875,21.375,Vietnam,persistent hot spot
0.108518612,0.548,106.875,21.625,Vietnam,persistent hot spot
-0.262002968,0.134,107.125,21.125,Vietnam,persistent hot spot
-0.03232267,0.858,107.125,21.375,Vietnam,persistent hot spot
0.013038629,0.944,107.125,21.625,Vietnam,persistent hot spot
-0.113499261,0.497,107.375,11.125,Vietnam,persistent hot spot
-0.20040596,0.248,107.375,20.875,Vietnam,persistent hot spot
0.094681322,0.588,107.375,21.125,Vietnam,persistent hot spot
0.318074324,0.071,107.375,21.375,Vietnam,persistent hot spot
0.27621232,0.133,107.375,21.625,Vietnam,persistent hot spot
-0.669126795,0,107.625,-6.375,Indonesia,persistent hot spot
-0.194011891,0.25,107.625,-6.625,Indonesia,persistent hot spot
0.522076585,0.001,107.625,-6.875,Indonesia,persistent hot spot
0.058520146,0.723,107.625,10.625,Vietnam,persistent hot spot
-0.101847106,0.537,107.625,10.875,Vietnam,persistent hot spot
-0.097746326,0.571,107.625,20.875,Vietnam,persistent hot spot
0.295019919,0.085,107.625,21.125,Vietnam,persistent hot spot
0.278897146,0.116,107.625,21.375,Vietnam,persistent hot spot
-0.119764951,0.507,107.625,21.625,Vietnam,persistent hot spot
-0.187892249,0.28,107.875,-6.875,Indonesia,persistent hot spot
-0.224016495,0.183,107.875,-7.125,Indonesia,persistent hot spot
-0.075378594,0.648,107.875,10.625,Vietnam,persistent hot spot
-0.14560922,0.383,107.875,10.875,Vietnam,persistent hot spot
0.195559424,0.268,107.875,21.375,Vietnam,persistent hot spot
-0.095384575,0.604,107.875,21.625,Vietnam,persistent hot spot
-0.042515521,0.806,108.125,-6.875,Indonesia,persistent hot spot
-0.201608298,0.231,108.125,-7.125,Indonesia,persistent hot spot
-0.495421515,0.003,108.125,21.375,Vietnam,persistent hot spot
-0.058418269,0.728,108.375,-6.875,Indonesia,persistent hot spot
-0.106487656,0.525,108.375,-7.125,Indonesia,persistent hot spot
