lon,lat,Code,Country
96.125,20.875,MMR,Myanmar
111.375,-1.625,IDN,Indonesia
98.375,20.625,MMR,Myanmar
113.875,-1.875,IDN,Indonesia
104.625,15.375,THA,Thailand
102.875,12.625,KHM,Cambodia
138.375,-3.625,IDN,Indonesia
117.875,5.125,MYS,Malaysia
99.625,3.125,IDN,Indonesia
108.125,12.875,VNM,Vietnam
101.875,-0.625,IDN,Indonesia
103.125,15.125,THA,Thailand
124.875,6.625,PHL,Philippines
124.875,-9.125,IDN,Indonesia
95.625,22.375,MMR,Myanmar
105.125,16.625,LAO,Laos
96.625,25.125,MMR,Myanmar
116.625,4.875,MYS,Malaysia
98.875,11.875,MMR,Myanmar
93.875,20.375,MMR,Myanmar
106.625,10.875,VNM,Vietnam
123.375,8.125,PHL,Philippines
118.125,5.125,MYS,Malaysia
100.375,0.875,IDN,Indonesia
132.375,-2.875,IDN,Indonesia
120.125,-2.375,IDN,Indonesia
105.125,14.375,THA,Thailand
115.125,-0.625,IDN,Indonesia
95.125,17.375,MMR,Myanmar
97.875,2.875,IDN,Indonesia
140.875,-5.625,IDN,Indonesia
98.875,-1.125,IDN,Indonesia
116.625,0.375,IDN,Indonesia
112.625,-0.875,IDN,Indonesia
99.125,9.375,THA,Thailand
138.125,-8.125,IDN,Indonesia
107.375,15.875,VNM,Vietnam
138.875,-3.375,IDN,Indonesia
92.875,21.125,MMR,Myanmar
116.375,-2.375,IDN,Indonesia
96.125,4.375,IDN,Indonesia
105.125,8.875,VNM,Vietnam
113.375,1.125,IDN,Indonesia
122.625,7.875,PHL,Philippines
118.875,-3.375,IDN,Indonesia
104.125,-2.625,IDN,Indonesia
110.875,-1.125,IDN,Indonesia
105.125,17.625,LAO,Laos
101.375,4.625,MYS,Malaysia
122.625,12.375,PHL,Philippines
104.125,16.875,THA,Thailand
105.125,13.375,KHM,Cambodia
110.875,0.375,IDN,Indonesia
104.375,15.125,THA,Thailand
95.625,18.125,MMR,Myanmar
92.625,20.875,MMR,Myanmar
107.875,14.375,VNM,Vietnam
138.625,-2.625,IDN,Indonesia
121.125,-2.625,IDN,Indonesia
100.875,4.875,MYS,Malaysia
106.625,14.375,KHM,Cambodia
97.875,4.875,IDN,Indonesia
130.625,-3.375,IDN,Indonesia
95.375,23.375,MMR,Myanmar
115.125,-1.625,IDN,Indonesia
123.375,10.625,PHL,Philippines
121.125,17.125,PHL,Philippines
112.375,2.125,MYS,Malaysia
110.875,-7.625,IDN,Indonesia
93.625,21.875,MMR,Myanmar
114.875,-0.625,IDN,Indonesia
112.125,1.125,IDN,Indonesia
117.375,0.875,IDN,Indonesia
115.875,-0.875,IDN,Indonesia
105.125,18.375,LAO,Laos
124.875,7.375,PHL,Philippines
108.375,13.875,VNM,Vietnam
103.375,16.375,THA,Thailand
120.875,13.125,PHL,Philippines
106.625,22.125,VNM,Vietnam
103.125,-0.875,IDN,Indonesia
102.625,18.625,LAO,Laos
106.125,22.625,VNM,Vietnam
96.375,20.875,MMR,Myanmar
104.125,-1.125,IDN,Indonesia
104.125,-5.125,IDN,Indonesia
93.375,20.125,MMR,Myanmar
103.875,17.375,THA,Thailand
102.375,19.875,LAO,Laos
110.875,1.375,MYS,Malaysia
94.875,16.875,MMR,Myanmar
122.875,9.875,PHL,Philippines
105.875,12.375,KHM,Cambodia
105.875,-6.625,IDN,Indonesia
104.625,-5.875,IDN,Indonesia
102.875,3.875,MYS,Malaysia
115.625,3.375,IDN,Indonesia
98.125,18.625,THA,Thailand
98.375,18.625,THA,Thailand
110.875,-2.375,IDN,Indonesia
122.125,16.375,PHL,Philippines
94.625,20.875,MMR,Myanmar
123.625,12.375,PHL,Philippines
111.875,-1.625,IDN,Indonesia
123.375,13.875,PHL,Philippines
103.875,17.625,THA,Thailand
99.625,16.875,THA,Thailand
100.625,-0.625,IDN,Indonesia
140.125,-5.875,IDN,Indonesia
103.625,-3.625,IDN,Indonesia
102.875,19.125,LAO,Laos
104.375,-2.125,IDN,Indonesia
140.375,-5.125,IDN,Indonesia
114.125,2.125,MYS,Malaysia
97.625,19.125,MMR,Myanmar
98.375,21.125,MMR,Myanmar
116.375,-2.125,IDN,Indonesia
119.125,-2.625,IDN,Indonesia
124.625,7.375,PHL,Philippines
102.125,15.625,THA,Thailand
98.875,13.875,MMR,Myanmar
129.375,-3.375,IDN,Indonesia
116.125,-0.125,IDN,Indonesia
97.625,24.125,MMR,Myanmar
102.625,-1.375,IDN,Indonesia
109.375,1.125,IDN,Indonesia
120.625,15.625,PHL,Philippines
122.375,-4.125,IDN,Indonesia
102.125,4.625,MYS,Malaysia
140.125,-2.375,IDN,Indonesia
102.125,4.125,MYS,Malaysia
117.375,3.875,IDN,Indonesia
96.875,22.375,MMR,Myanmar
96.375,17.875,MMR,Myanmar
105.625,20.375,VNM,Vietnam
103.125,18.625,LAO,Laos
107.625,15.875,VNM,Vietnam
119.125,-2.875,IDN,Indonesia
104.375,18.375,LAO,Laos
95.375,19.125,MMR,Myanmar
98.875,22.625,MMR,Myanmar
105.875,10.375,VNM,Vietnam
109.875,-7.125,IDN,Indonesia
117.625,1.625,IDN,Indonesia
107.875,11.375,VNM,Vietnam
105.625,-5.375,IDN,Indonesia
114.125,-0.125,IDN,Indonesia
120.875,-2.625,IDN,Indonesia
104.375,-1.375,IDN,Indonesia
98.375,17.875,THA,Thailand
111.375,-6.875,IDN,Indonesia
97.125,23.875,MMR,Myanmar
110.375,-0.875,IDN,Indonesia
110.875,-6.875,IDN,Indonesia
102.625,21.375,LAO,Laos
